sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor
190616360768.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360769.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360770.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360771.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360772.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360773.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360774.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360775.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360776.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360777.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360778.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360779.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360780.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360781.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360782.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360783.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360784.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
190616360785.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1
