Bacillus.cereus	Salmonella.enterica	Enterococcus.faecalis	Listeria.monocytogenes	Staphylococcus.aureus	Staphylococcus.epidermidis
11	10	0	0	0	0
19	0	21	12	0	12
24	0	0	0	0	0
23	17	10	20	0	0
16	11	22	13	0	0
16	0	0	11	0	0
10	0	0	0	0	0
18	0	0	22	0	0
16	0	0	0	0	0
65	35	44	65	94	0
131	50	119	55	73	39
52	33	0	60	51	0
89	20	23	19	73	19
59	35	52	43	20	0
101	33	61	61	85	0
58	36	70	65	47	0
67	33	77	58	67	0
42	25	33	30	46	0
55	22	27	32	50	0
95	40	55	66	66	0
68	28	54	36	35	0
81	51	61	100	34	23
107	37	77	87	54	22
77	15	76	58	34	0
722	236	333	346	275	87
1128	271	835	377	598	219
1577	464	1062	933	848	280
722	216	451	324	328	135
707	301	384	405	275	95
1031	330	587	514	457	71
1054	274	787	464	593	125
886	429	661	310	277	155
1006	609	1161	586	611	137
1141	690	889	982	521	125
755	668	413	437	325	52
699	333	457	479	329	61
660	262	440	636	342	89
1120	755	807	964	648	152
1017	493	575	712	466	183
6629	4171	4522	2337	2550	955
6478	2997	3760	1884	2762	597
6707	3977	4817	1572	2297	857
8628	5667	5017	2972	2575	589
6776	4649	3889	2554	2262	709
7271	4247	3755	2262	3059	593
6718	3634	3774	2845	2189	508
8184	3893	4297	2326	3450	752
8692	7054	5865	2543	2830	635
7162	4307	4164	2901	1852	575
7216	2345	3477	3132	2671	596
6678	3387	3775	1920	3207	593
10442	3964	5480	3715	1975	872
7985	5949	4417	3477	3484	685
6526	2990	3172	2937	2468	774
12753	12527	6713	2846	2936	1182
12796	7917	7105	3286	3302	1179
12916	10947	7148	3714	3322	1143
14263	10143	6238	3811	3089	1333
8960	6247	5060	2421	2854	881
13717	11374	6540	6581	2894	1080
12376	8456	5948	5880	2693	1287
11905	8460	5804	4976	1955	916
8545	5635	4122	3362	1376	589
8492	7750	5254	3223	1385	689
12996	8851	5791	6543	1980	928
11023	7192	4294	5476	1895	764
12942	7770	5847	5479	3496	1113
12325	7328	5540	5676	1867	906
12797	7806	6181	7772	289	977
0	0	0	0	0	0
0	0	0	10	0	0
0	0	12	0	14	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
22.727272727272727	0	18.18181818181818	15.15151515151515	15.15151515151515	0
18.18181818181818	18.18181818181818	0	15.15151515151515	0	0
24.242424242424242	0	0	0	0	0
19.696969696969695	0	0	0	16.666666666666664	0
24.242424242424242	0	0	0	0	0
98.48484848484848	46.96969696969697	63.63636363636363	66.66666666666666	100	0
165.15151515151516	50	154.54545454545453	56.060606060606055	53.03030303030303	34.848484848484844
54.54545454545454	39.39393939393939	0	51.515151515151516	71.2121212121212	0
77.27272727272727	16.666666666666664	43.93939393939394	28.787878787878785	68.18181818181817	0
57.57575757575757	31.818181818181817	53.03030303030303	43.93939393939394	45.45454545454545	0
112.12121212121211	36.36363636363636	63.63636363636363	74.24242424242424	68.18181818181817	0
87.87878787878788	31.818181818181817	72.72727272727272	65.15151515151514	59.090909090909086	0
59.090909090909086	43.93939393939394	86.36363636363636	43.93939393939394	68.18181818181817	0
65.15151515151514	21.21212121212121	45.45454545454545	48.484848484848484	46.96969696969697	0
72.72727272727272	33.33333333333333	36.36363636363636	50	34.848484848484844	0
95.45454545454545	36.36363636363636	71.2121212121212	50	86.36363636363636	0
77.27272727272727	25.757575757575758	57.57575757575757	40.90909090909091	27.27272727272727	0
107.57575757575756	59.090909090909086	77.27272727272727	104.54545454545455	36.36363636363636	27.27272727272727
142.4242424242424	34.848484848484844	96.96969696969697	92.42424242424242	51.515151515151516	19.696969696969695
90.9090909090909	33.33333333333333	109.09090909090908	65.15151515151514	45.45454545454545	0
734.8484848484848	257.57575757575756	383.3333333333333	392.4242424242424	340.9090909090909	113.63636363636363
1254.5454545454545	353.030303030303	901.5151515151515	428.78787878787875	621.2121212121211	228.78787878787878
1757.5757575757575	500	1278.7878787878788	1019.6969696969696	915.1515151515151	289.3939393939394
804.5454545454545	228.78787878787878	513.6363636363636	383.3333333333333	306.06060606060606	154.54545454545453
821.2121212121211	304.5454545454545	478.78787878787875	483.3333333333333	331.8181818181818	106.06060606060606
1177.2727272727273	372.7272727272727	698.4848484848485	593.9393939393939	550	107.57575757575756
1153.030303030303	307.57575757575756	981.8181818181818	553.030303030303	669.6969696969696	153.03030303030303
953.030303030303	493.93939393939394	734.8484848484848	350	309.09090909090907	196.96969696969697
1221.2121212121212	698.4848484848485	1318.181818181818	722.7272727272727	774.2424242424242	162.12121212121212
1272.7272727272727	892.4242424242424	1068.1818181818182	1125.7575757575758	551.5151515151515	133.33333333333331
883.3333333333333	774.2424242424242	504.5454545454545	522.7272727272727	372.7272727272727	45.45454545454545
825.7575757575758	396.96969696969694	489.3939393939394	531.8181818181818	340.9090909090909	51.515151515151516
848.4848484848485	269.6969696969697	495.45454545454544	725.7575757575758	371.2121212121212	83.33333333333333
1304.5454545454545	910.6060606060605	856.060606060606	1206.060606060606	696.9696969696969	177.27272727272725
1084.8484848484848	553.030303030303	618.1818181818181	890.9090909090909	527.2727272727273	212.12121212121212
7225.757575757575	4501.515151515151	5183.333333333333	2604.5454545454545	2804.5454545454545	1030.3030303030303
7350	3324.242424242424	4278.787878787879	2042.4242424242423	3169.6969696969695	713.6363636363636
7383.333333333333	4512.121212121212	5209.090909090909	1818.181818181818	2568.181818181818	940.9090909090909
9986.363636363636	7065.151515151515	5901.515151515151	3727.272727272727	3025.7575757575755	756.060606060606
8166.666666666666	5543.939393939394	4703.030303030303	3127.272727272727	2781.8181818181815	889.3939393939394
8957.575757575758	5237.878787878788	4548.484848484848	2945.4545454545455	3648.4848484848485	759.090909090909
7959.090909090909	4325.757575757576	4613.636363636363	3550	2610.6060606060605	601.5151515151515
9542.424242424242	4672.727272727272	5295.454545454545	2834.8484848484845	3984.8484848484845	869.6969696969696
10393.939393939394	8436.363636363636	6918.181818181818	3207.5757575757575	3427.272727272727	778.7878787878788
8398.484848484848	5362.121212121212	5033.333333333333	3663.6363636363635	2254.5454545454545	639.3939393939394
8456.060606060606	2984.8484848484845	4280.30303030303	3695.4545454545455	3431.8181818181815	698.4848484848485
8119.696969696969	4053.030303030303	4748.484848484848	2456.060606060606	3904.5454545454545	666.6666666666666
12340.90909090909	4781.818181818182	6681.818181818181	4642.424242424242	2340.909090909091	1030.3030303030303
9603.030303030302	7180.30303030303	5537.878787878788	4243.939393939394	4053.030303030303	733.3333333333333
7892.424242424242	3706.060606060606	3809.090909090909	3607.5757575757575	2848.4848484848485	840.9090909090909
15233.333333333332	15127.272727272726	8060.60606060606	3469.6969696969695	3437.8787878787875	1339.3939393939393
15563.636363636362	9716.666666666666	8551.515151515152	3957.5757575757575	3910.6060606060605	1416.6666666666665
15868.181818181818	13439.393939393938	8743.939393939394	4633.333333333333	3886.363636363636	1283.3333333333333
16795.454545454544	12007.575757575756	7454.545454545454	4536.363636363636	3484.8484848484845	1587.8787878787878
10253.030303030302	7219.696969696969	5834.848484848485	2963.6363636363635	3089.393939393939	1027.2727272727273
15962.121212121212	13474.242424242424	7757.575757575757	8019.696969696969	3604.5454545454545	1387.8787878787878
14451.51515151515	10348.484848484848	7137.878787878788	6834.848484848484	3221.212121212121	1365.151515151515
14237.878787878788	10066.666666666666	6896.969696969697	5763.636363636363	2389.3939393939395	1165.151515151515
9633.333333333332	6512.121212121212	4874.242424242424	3984.8484848484845	1628.7878787878788	734.8484848484848
9622.727272727272	8815.151515151514	6343.939393939394	4016.6666666666665	1643.9393939393938	818.1818181818181
15024.242424242424	10495.454545454544	7066.666666666666	7830.30303030303	2245.4545454545455	1036.3636363636363
12840.90909090909	8756.060606060606	5230.30303030303	6657.575757575757	2154.5454545454545	921.2121212121211
14893.939393939394	9265.151515151514	6931.818181818181	6315.151515151515	4237.878787878788	1206.060606060606
14328.787878787878	8613.636363636364	6810.60606060606	6839.393939393939	2206.060606060606	1092.4242424242423
14957.575757575756	9339.393939393938	7363.636363636363	9272.727272727272	369.6969696969697	1066.6666666666665
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	16.666666666666664	0	0	0
0	0	0	15.15151515151515	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
0	0	0	0	0	0
15.985790408525755	0	15.985790408525755	0	0	0
20.781527531083483	0	0	0	0	0
39.96447602131439	15.985790408525755	22.380106571936057	0	0	0
15.985790408525755	0	0	15.985790408525755	0	0
19.182948490230906	0	0	0	0	0
17.584369449378332	0	0	0	0	0
89.52042628774423	46.35879218472469	44.760213143872114	60.74600355239787	97.51332149200711	0
158.259325044405	49.55595026642984	129.4849023090586	43.16163410301954	65.54174067495559	54.35168738898757
60.74600355239787	20.781527531083483	0	63.94316163410302	71.9360568383659	0
70.33747779751333	23.978685612788635	41.56305506216697	25.57726465364121	79.92895204262878	0
59.147424511545296	36.767317939609235	36.767317939609235	43.16163410301954	38.36589698046181	0
121.49200710479575	35.168738898756665	84.7246891651865	65.54174067495559	73.53463587921847	0
60.74600355239787	39.96447602131439	57.54884547069272	44.760213143872114	44.760213143872114	0
76.73179396092362	41.56305506216697	92.71758436944938	59.147424511545296	75.13321492007105	0
57.54884547069272	23.978685612788635	35.168738898756665	33.57015985790409	52.753108348134994	0
47.95737122557727	25.57726465364121	23.978685612788635	31.97158081705151	54.35168738898757	0
91.11900532859681	35.168738898756665	51.15452930728242	59.147424511545296	81.52753108348135	0
87.92184724689166	25.57726465364121	71.9360568383659	54.35168738898757	15.985790408525755	0
78.3303730017762	38.36589698046181	51.15452930728242	107.10479573712256	28.77442273534636	28.77442273534636
123.09058614564832	39.96447602131439	75.13321492007105	84.7246891651865	65.54174067495559	23.978685612788635
92.71758436944938	23.978685612788635	76.73179396092362	57.54884547069272	43.16163410301954	0
717.7619893428064	204.61811722912967	382.06039076376555	391.65186500888103	346.8916518650089	110.30195381882771
1136.5896980461812	279.7513321492007	909.5914742451155	438.0106571936057	605.8614564831262	215.8081705150977
1659.3250444049734	426.8206039076377	1152.575488454707	971.936056838366	898.4014209591475	265.36412078152756
743.3392539964476	215.8081705150977	519.5381882770871	332.50444049733574	327.708703374778	131.08348134991118
658.6145648312611	282.94849023090586	418.8277087033748	426.8206039076377	260.5683836589698	89.52042628774423
1051.8650088809948	342.09591474245116	626.6429840142096	549.911190053286	511.54529307282417	92.71758436944938
1088.632326820604	298.9342806394316	898.4014209591475	553.1083481349912	703.3747779751333	143.8721136767318
828.0639431616341	415.63055062166967	816.8738898756661	343.69449378330376	287.7442273534636	182.23801065719363
1099.822380106572	665.0088809946715	1221.3143872113678	644.227353463588	668.2060390763766	179.04085257548846
1198.9342806394316	797.6909413854352	992.7175843694495	1018.2948490230906	545.1154529307282	169.449378330373
808.8809946714032	717.7619893428064	498.75666074600355	471.58081705150977	311.72291296625224	47.95737122557727
796.0923623445826	345.2930728241563	460.39076376554175	553.1083481349912	354.8845470692718	0
724.1563055062168	284.54706927175846	511.54529307282417	637.8330373001777	378.8632326820604	76.73179396092362
1162.1669626998225	749.7335701598579	804.0852575488454	1021.4920071047958	609.0586145648313	151.86500888099468
1016.696269982238	519.5381882770871	655.417406749556	783.3037300177621	511.54529307282417	166.25222024866787
6881.8827708703375	4181.8827708703375	4874.067495559503	2439.4316163410303	2634.4582593250443	962.3445825932505
6821.13676731794	3158.7921847246894	4065.1865008880995	2060.56838365897	3008.525754884547	642.6287744227353
