sample	time	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id	Observed_Seq	Observed_QC	Observed_Pool	Observed_other	Available_Seq	Available_QC	Available_Pool	Available_other	Mean_Sample_Cov_Pool	seq_code	size_factor	seq_depth	lib_size_raw	lib_size
190616360768.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21	21
190616360769.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	64	64
190616360770.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	24	24
190616360772.1.1.1	T0	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	70	70
190616360773.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	62	62
190616360775.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	27	27
190616360777.1.1.1	T7	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	10	10
190616360778.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	40	40
190616360780.1.1.1	T30	20	20	2	20	2	20	84	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	16	16
190616360783.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	303	303
190616360784.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	467	467
190616360785.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	196	196
190616360786.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	243	243
190616360787.1.1.1	T0	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	209	209
190616360788.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	341	341
190616360789.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	276	276
190616360790.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	302	302
190616360791.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	176	176
190616360792.1.1.1	T7	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	186	186
190616360793.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	322	322
190616360794.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	221	221
190616360795.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	350	350
190616360796.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	384	384
190616360797.1.1.1	T30	200	200	20	200	20	200	840	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	260	260
190616360798.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	1999	1999
190616360799.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3428	3428
190616360800.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	5164	5164
190616360801.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2176	2176
190616360802.1.1.1	T0	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2167	2167
190616360803.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2990	2990
190616360804.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3297	3297
190616360805.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2718	2718
190616360806.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4110	4110
190616360807.1.1.1	T7	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4348	4348
190616360808.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2650	2650
190616360809.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2358	2358
190616360810.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	2429	2429
190616360811.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	4446	4446
190616360812.1.1.1	T30	2000	2000	200	2000	200	2000	8400	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	3446	3446
190616360813.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21164	21164
190616360814.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	18478	18478
190616360815.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	20227	20227
190616360816.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	25448	25448
190616360817.1.1.1	T0	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	20839	20839
190616360818.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	21187	21187
190616360819.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	19668	19668
190616360820.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	22902	22902
190616360821.1.1.1	T7	20000	20000	2000	20000	2000	20000	84000	seq1	24440428	28679	4178618	20175774	25000000	30000	4500000	20470000	45000	190726_M02526_0238_000000000-CGB23	1	4178618	27619	27619
