#sample	cfu	extraction_method	description
190616360753.1.1.1	2	Beads	Beads
190616360758.1.1.1	2	Beads	Beads
190616360763.1.1.1	2	Beads	Beads
190616360768.1.1.1	20	Beads	Beads
190616360773.1.1.1	20	Beads	Beads
190616360779.1.1.1	20	Beads	Beads
190616360783.1.1.1	200	Beads	Beads
190616360789.1.1.1	200	Beads	Beads
190616360793.1.1.1	200	Beads	Beads
190616360798.1.1.1	2000	Beads	Beads
190616360804.1.1.1	2000	Beads	Beads
190616360808.1.1.1	2000	Beads	Beads
190616360813.1.1.1	20000	Beads	Beads
190616360818.1.1.1	20000	Beads	Beads
190616360823.1.1.1	20000	Beads	Beads
190616360828.1.1.1	200000	Beads	Beads
190616360833.1.1.1	200000	Beads	Beads
190616360838.1.1.1	200000	Beads	Beads
190616360844.1.1.1	1000000	Beads	Beads
190616360845.1.1.1	1000000	Beads	Beads
190616360847.1.1.1	1000000	Beads	Beads
190802833579.1.1.1	2	QIAMP	QIAMP
190802833580.1.1.1	2	QIAMP	QIAMP
190802833581.1.1.1	2	QIAMP	QIAMP
190802833582.1.1.1	20	QIAMP	QIAMP
190802833583.1.1.1	20	QIAMP	QIAMP
190802833584.1.1.1	20	QIAMP	QIAMP
190802833585.1.1.1	200	QIAMP	QIAMP
190802833586.1.1.1	200	QIAMP	QIAMP
190802833587.1.1.1	200	QIAMP	QIAMP
190802833588.1.1.1	2000	QIAMP	QIAMP
190802833589.1.1.1	2000	QIAMP	QIAMP
190802833590.1.1.1	2000	QIAMP	QIAMP
190802833591.1.1.1	20000	QIAMP	QIAMP
190802833592.1.1.1	20000	QIAMP	QIAMP
190802833593.1.1.1	20000	QIAMP	QIAMP
190802833594.1.1.1	200000	QIAMP	QIAMP
190802833595.1.1.1	200000	QIAMP	QIAMP
190802833596.1.1.1	200000	QIAMP	QIAMP
190802833597.1.1.1	1000000	QIAMP	QIAMP
190802833598.1.1.1	1000000	QIAMP	QIAMP
190802833599.1.1.1	1000000	QIAMP	QIAMP
190802833601.1.1.1	20	PowerSoil	PowerSoil
190802833602.1.1.1	20	PowerSoil	PowerSoil
190802833603.1.1.1	20	PowerSoil	PowerSoil
190802833604.1.1.1	2000	PowerSoil	PowerSoil
190802833605.1.1.1	2000	PowerSoil	PowerSoil
190802833606.1.1.1	2000	PowerSoil	PowerSoil
190802833607.1.1.1	200000	PowerSoil	PowerSoil
190802833608.1.1.1	200000	PowerSoil	PowerSoil
190802833609.1.1.1	200000	PowerSoil	PowerSoil
190802833610.1.1.1	20	PowerSoilPRO	PowerSoilPRO
190802833611.1.1.1	20	PowerSoilPRO	PowerSoilPRO
190802833612.1.1.1	20	PowerSoilPRO	PowerSoilPRO
190802833613.1.1.1	2000	PowerSoilPRO	PowerSoilPRO
190802833614.1.1.1	2000	PowerSoilPRO	PowerSoilPRO
190802833615.1.1.1	2000	PowerSoilPRO	PowerSoilPRO
190802833616.1.1.1	200000	PowerSoilPRO	PowerSoilPRO
190802833617.1.1.1	200000	PowerSoilPRO	PowerSoilPRO
190802833618.1.1.1	200000	PowerSoilPRO	PowerSoilPRO
