sample	oligotype_1_248052	oligotype_2_186383	oligotype_3_185220	oligotype_4_157850	oligotype_5_119690	oligotype_6_50013	oligotype_7_25263
190616360783.1.1.1	65	35	241	65	44	94	0
190616360813.1.1.1	6629	4171	6494	2337	4522	2550	955
190616360808.1.1.1	755	668	663	437	413	325	52
190616360789.1.1.1	58	36	146	65	70	47	0
190802833588.1.1.1	830	533	615	702	616	329	102
190616360793.1.1.1	95	40	173	66	55	66	0
190616360798.1.1.1	722	236	452	346	333	275	87
190802833595.1.1.1	11326	9094	8763	6025	5174	2526	1027
190802833597.1.1.1	10617	12791	10822	11255	4593	359	1077
190802833589.1.1.1	730	373	460	466	472	298	62
190802833590.1.1.1	592	236	289	433	355	321	77
190802833591.1.1.1	6789	3687	5832	3809	3330	2051	574
190802833592.1.1.1	6116	3606	5716	3965	3223	1793	621
190802833593.1.1.1	7756	4176	6751	4389	3950	2348	670
190802833596.1.1.1	12776	10049	9415	6386	6210	2800	1154
190802833594.1.1.1	11681	7728	7494	5533	5565	2319	971
190802833598.1.1.1	9338	11448	9937	10500	4116	394	1052
190802833599.1.1.1	8050	9890	8303	8724	3313	274	939
190802833604.1.1.1	133	78	172	131	130	66	25
190802833605.1.1.1	188	81	69	133	101	37	20
190802833607.1.1.1	17965	14433	13943	10824	8845	3233	1684
190802833609.1.1.1	13104	11971	11893	9669	6445	2235	1328
190616360804.1.1.1	1054	274	751	464	787	593	125
190802833613.1.1.1	69	53	45	126	46	0	27
190802833617.1.1.1	8992	4338	4016	9161	2199	2299	1430
190802833608.1.1.1	11421	9594	9458	6934	5769	1945	1033
190616360818.1.1.1	7271	4247	7127	2262	3755	3059	593
190616360823.1.1.1	7216	2345	6018	3132	3477	2671	596
190616360844.1.1.1	9984	8821	4384	1788	6171	913	820
190616360838.1.1.1	12996	8851	6642	6543	5791	1980	928
190616360828.1.1.1	12753	12527	8976	2846	6713	2936	1182
190802833616.1.1.1	9041	3000	2881	9615	2976	2337	1285
190802833618.1.1.1	10842	4398	4034	11105	3485	2584	1591
190616360845.1.1.1	7075	6821	7014	6296	4178	421	904
190616360833.1.1.1	13717	11374	9934	6581	6540	2894	1080
190616360847.1.1.1	9306	4380	5297	4737	5928	641	1192
190616360773.1.1.1	0	0	0	0	0	0	0
190802833602.1.1.1	0	0	0	0	0	0	0
190802833583.1.1.1	0	0	0	0	0	0	0
190802833603.1.1.1	0	0	0	0	0	0	0
190802833586.1.1.1	0	0	0	0	0	0	0
190616360763.1.1.1	0	0	0	0	0	0	0
190802833601.1.1.1	0	0	0	0	0	0	0
190616360768.1.1.1	0	0	0	0	0	0	0
190802833610.1.1.1	0	0	0	0	0	0	0
190616360753.1.1.1	0	0	0	0	0	0	0
190802833614.1.1.1	0	0	0	0	0	0	0
190802833615.1.1.1	0	0	0	0	0	0	0
190802833582.1.1.1	0	0	0	0	0	0	0
190802833612.1.1.1	0	0	0	0	0	0	0
190616360779.1.1.1	0	0	0	0	0	0	0
190802833587.1.1.1	0	0	0	0	0	0	0
190802833584.1.1.1	0	0	0	0	0	0	0
190802833611.1.1.1	0	0	0	0	0	0	0
190802833580.1.1.1	0	0	0	0	0	0	0
190802833579.1.1.1	0	0	0	0	0	0	0
190802833581.1.1.1	0	0	0	0	0	0	0
190802833606.1.1.1	0	0	0	0	0	0	0
190802833585.1.1.1	0	0	0	0	0	0	0
190616360758.1.1.1	0	0	0	0	0	0	0
