sample	time	E_coli	L_monocytogenes	S_enterica	B_cereus	S_aureus	S_epidermidis	E_faecalis	total_cfu	seq_id
190616360768.1.1.1	T0	20	20	20	2	20	2	20	104	seq1
190616360769.1.1.1	T0	20	20	20	2	20	2	20	104	seq1
190616360770.1.1.1	T0	20	20	20	2	20	2	20	104	seq1
190616360771.1.1.1	T0	20	20	20	2	20	2	20	104	seq1
190616360772.1.1.1	T0	20	20	20	2	20	2	20	104	seq1
190616360773.1.1.1	T7	20	20	20	2	20	2	20	104	seq1
190616360774.1.1.1	T7	20	20	20	2	20	2	20	104	seq1
190616360775.1.1.1	T7	20	20	20	2	20	2	20	104	seq1
190616360776.1.1.1	T7	20	20	20	2	20	2	20	104	seq1
190616360777.1.1.1	T7	20	20	20	2	20	2	20	104	seq1
190616360778.1.1.1	T30	20	20	20	2	20	2	20	104	seq1
190616360779.1.1.1	T30	20	20	20	2	20	2	20	104	seq1
190616360780.1.1.1	T30	20	20	20	2	20	2	20	104	seq1
190616360781.1.1.1	T30	20	20	20	2	20	2	20	104	seq1
190616360782.1.1.1	T30	20	20	20	2	20	2	20	104	seq1
190616360783.1.1.1	T0	200	200	200	20	200	20	200	1040	seq1
190616360784.1.1.1	T0	200	200	200	20	200	20	200	1040	seq1
190616360785.1.1.1	T0	200	200	200	20	200	20	200	1040	seq1
190616360786.1.1.1	T0	200	200	200	20	200	20	200	1040	seq1
190616360787.1.1.1	T0	200	200	200	20	200	20	200	1040	seq1
190616360788.1.1.1	T7	200	200	200	20	200	20	200	1040	seq1
190616360789.1.1.1	T7	200	200	200	20	200	20	200	1040	seq1
190616360790.1.1.1	T7	200	200	200	20	200	20	200	1040	seq1
190616360791.1.1.1	T7	200	200	200	20	200	20	200	1040	seq1
190616360792.1.1.1	T7	200	200	200	20	200	20	200	1040	seq1
190616360793.1.1.1	T30	200	200	200	20	200	20	200	1040	seq1
190616360794.1.1.1	T30	200	200	200	20	200	20	200	1040	seq1
190616360795.1.1.1	T30	200	200	200	20	200	20	200	1040	seq1
190616360796.1.1.1	T30	200	200	200	20	200	20	200	1040	seq1
190616360797.1.1.1	T30	200	200	200	20	200	20	200	1040	seq1
190616360798.1.1.1	T0	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360799.1.1.1	T0	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360800.1.1.1	T0	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360801.1.1.1	T0	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360802.1.1.1	T0	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360803.1.1.1	T7	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360804.1.1.1	T7	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360805.1.1.1	T7	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360806.1.1.1	T7	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360807.1.1.1	T7	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360808.1.1.1	T30	2000	2000	2000	200	2000	200	2000	10400	seq1
190616360809.1.1.1	T30	2000	2000	2000	200	2000	200	2000	10400	seq1
