microbial_load_cfu	cycle_quantification
2	35.8
2	35.85
2	35.37
2	35.6
2	35.28
2	35.37
2	36
2	35.64
20	35.96
20	36.04
20	35.21
20	34.89
20	34.78
20	35.56
20	35.14
20	34.99
20	35.49
20	34.99
20	35.44
20	35.23
20	35.04
20	35.25
20	36.56
20	34.92
20	35.74
20	36.14
20	34.92
20	35.74
20	36.14
200	35.06
200	34.75
200	34.51
200	34.37
200	34.07
200	34.14
200	34.69
200	34.38
200	34.53
200	35.22
200	35.16
200	35.01
200	34.68
200	34.31
200	39.54
200	35.15
200	35.86
200	34.8
2000	32.83
2000	32.45
2000	31.92
2000	31.87
2000	31.66
2000	31.38
2000	31.6
2000	31.11
2000	30.96
2000	31.62
2000	31.39
2000	31.08
2000	31.59
2000	31.96
2000	31.82
2000	31.9
2000	31.73
2000	31.57
20000	28.01
20000	27.18
20000	27.14
20000	28.12
20000	28.62
20000	28.72
20000	27.95
20000	27.91
20000	27.23
20000	28.53
20000	28.31
20000	28.22
20000	28.01
20000	27.82
20000	27.42
20000	27.97
20000	27.71
20000	27.58
200000	24.08
200000	24.28
200000	24.39
200000	24.38
200000	24.32
200000	24.42
200000	24.29
200000	24.09
200000	23.87
200000	23.53
200000	23.28
200000	23.38
200000	23.22
200000	23.06
