sample	oligotype_0_87	oligotype_10_191	oligotype_11_29	oligotype_1_282321	oligotype_2_226682	oligotype_3_190098	oligotype_4_157097	oligotype_5_116061	oligotype_6_66785	oligotype_7_25417	oligotype_8_3293	oligotype_9_1388
190616360754.1.1.2	0	0	0	15	0	0	0	0	0	0	0	0
190616360757.1.1.2	1	0	0	15	0	0	0	0	0	0	0	0
190616360763.1.1.2	0	0	0	23	0	0	10	0	0	0	0	0
190616360765.1.1.2	0	0	0	12	0	10	0	0	0	0	0	0
190616360769.1.1.2	0	0	0	15	0	0	12	10	10	0	0	0
190616360772.1.1.2	1	31	0	12	0	12	0	10	0	0	0	0
190616360775.1.1.2	1	19	0	16	0	0	0	0	0	0	0	0
190616360776.1.1.2	1	0	0	13	0	0	0	0	11	0	0	0
190616360778.1.1.2	1	0	0	16	0	0	0	0	0	0	0	0
190616360783.1.1.2	1	0	0	65	0	31	42	44	66	0	0	0
190616360784.1.1.2	0	0	0	109	0	33	102	37	35	23	0	0
190616360785.1.1.2	1	0	0	36	0	26	0	34	47	0	0	0
190616360786.1.1.2	1	0	0	51	0	11	29	19	45	0	0	0
190616360787.1.1.2	1	0	0	38	0	21	35	29	30	0	0	0
190616360788.1.1.2	1	0	0	74	0	24	42	49	45	0	0	0
190616360789.1.1.2	1	21	0	58	0	21	48	43	39	0	0	0
190616360790.1.1.2	1	0	0	39	0	29	57	29	45	0	0	0
190616360791.1.1.2	0	0	29	43	0	14	30	32	31	0	0	0
190616360792.1.1.2	1	0	0	48	0	22	24	33	23	0	0	0
190616360793.1.1.2	1	0	0	63	0	24	47	33	57	0	0	0
190616360794.1.1.2	1	0	0	51	0	17	38	27	18	0	0	0
190616360795.1.1.2	1	0	0	71	0	39	51	69	24	18	0	0
190616360796.1.1.2	1	0	0	94	0	23	64	61	34	13	0	0
190616360797.1.1.2	1	0	0	60	0	22	72	43	30	0	0	0
190616360798.1.1.2	1	0	0	485	0	170	253	259	225	75	0	0
190616360799.1.1.2	1	0	0	828	0	233	595	283	410	151	0	0
190616360800.1.1.2	1	0	0	1160	0	330	844	673	604	191	0	0
190616360801.1.1.2	1	0	0	531	0	151	339	253	202	102	0	0
190616360802.1.1.2	1	0	0	542	0	201	316	319	219	70	0	0
190616360803.1.1.2	1	0	0	777	0	246	461	392	363	71	0	0
190616360804.1.1.2	1	0	0	761	0	203	648	365	442	101	0	0
190616360805.1.1.2	1	0	0	629	0	326	485	231	204	130	0	0
190616360806.1.1.2	1	0	0	806	0	461	870	477	511	107	0	0
190616360807.1.1.2	1	0	0	840	0	589	705	743	364	88	0	0
190616360808.1.1.2	1	0	0	583	0	511	333	345	246	30	0	0
190616360809.1.1.2	1	0	0	545	0	262	323	351	225	34	0	0
190616360810.1.1.2	1	0	0	560	0	178	327	479	245	55	0	0
190616360811.1.1.2	1	0	0	861	0	601	565	796	460	117	0	0
190616360812.1.1.2	1	17	0	716	0	365	408	588	348	140	0	0
190616360813.1.1.2	1	0	0	4769	5009	2971	3421	1719	1851	680	0	0
190616360814.1.1.2	1	0	0	4851	3771	2194	2824	1348	2092	471	0	0
190616360815.1.1.2	1	0	0	4873	3911	2978	3438	1200	1695	621	0	0
190616360816.1.1.2	1	0	0	6591	6290	4663	3895	2460	1997	499	0	0
190616360817.1.1.2	1	0	0	5390	5334	3659	3104	2064	1836	587	0	0
190616360818.1.1.2	1	0	0	5912	5756	3457	3002	1944	2408	501	0	0
190616360819.1.1.2	1	0	0	5253	4718	2855	3045	2343	1723	397	0	0
190616360820.1.1.2	1	0	0	6298	6166	3084	3495	1871	2630	574	0	0
190616360821.1.1.2	1	0	0	6860	7087	5568	4566	2117	2262	514	0	0
190616360822.1.1.2	1	0	0	5543	4739	3539	3322	2418	1488	422	0	0
190616360823.1.1.2	1	0	0	5581	4706	1970	2825	2439	2265	461	0	0
190616360824.1.1.2	1	0	0	5359	4825	2675	3134	1621	2577	440	0	0
190616360825.1.1.2	1	0	0	8145	8484	3156	4410	3064	1545	680	0	0
190616360826.1.1.2	1	0	0	6338	6437	4739	3655	2801	2675	484	0	0
190616360827.1.1.2	1	0	0	5209	5338	2446	2514	2381	1880	555	0	0
190616360828.1.1.2	1	0	0	10054	7240	9984	5320	2290	2269	884	0	0
190616360829.1.1.2	1	0	0	10272	7278	6413	5644	2612	2581	935	0	0
190616360830.1.1.2	1	0	0	10473	8197	8870	5771	3058	2565	847	0	0
190616360831.1.1.2	1	0	0	11085	8764	7925	4920	2994	2300	1048	0	0
190616360832.1.1.2	1	0	0	6767	5647	4765	3851	1956	2039	678	0	0
190616360833.1.1.2	1	0	0	10535	7910	8893	5120	5293	2379	916	0	0
190616360834.1.1.2	1	0	0	9538	7628	6830	4711	4511	2126	901	0	0
190616360835.1.1.2	1	0	0	9397	8163	6644	4552	3804	1577	769	0	0
190616360836.1.1.2	1	0	0	6358	5308	4298	3217	2630	1075	485	0	0
190616360837.1.1.2	1	0	0	6351	5313	5818	4187	2651	1085	540	0	0
190616360838.1.1.2	1	0	0	9916	5072	6927	4664	5168	1482	684	0	0
190616360839.1.1.2	1	0	0	8475	6001	5779	3452	4394	1422	608	0	0
190616360840.1.1.2	1	0	0	9830	5406	6115	4575	4168	2797	796	0	0
190616360841.1.1.2	1	0	0	9457	6192	5685	4495	4514	1456	721	0	0
190616360842.1.1.2	1	0	0	9872	7825	6164	4860	6120	244	704	0	0
190616360843.1.1.2	1	0	0	9117	4393	8300	5569	1585	461	854	0	0
190616360844.1.1.2	1	0	0	7817	3442	6921	4665	1447	696	657	0	0
190616360845.1.1.2	1	0	0	5599	5570	5539	3377	4967	345	757	0	0
190616360846.1.1.2	1	0	0	7412	5742	5166	4916	5122	442	550	0	0
190616360847.1.1.2	1	0	0	7257	4172	3410	4871	3701	496	981	0	0
190616360848.1.1.2	1	0	0	8106	4956	4492	5524	4120	354	700	0	0
190616360753.1.1.2	0	0	0	0	0	0	0	0	0	0	0	0
190616360755.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360756.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360758.1.1.2	0	25	0	0	0	0	0	0	0	0	0	0
190616360759.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360760.1.1.2	1	27	0	0	0	0	0	0	0	0	0	0
190616360761.1.1.2	1	19	0	0	0	0	0	0	0	0	0	0
190616360762.1.1.2	0	0	0	0	0	0	0	0	12	0	0	0
190616360764.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360766.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360767.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360768.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360770.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360771.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360773.1.1.2	1	32	0	0	0	0	11	0	0	0	0	0
190616360774.1.1.2	1	0	0	0	0	0	0	10	0	0	0	0
190616360777.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360779.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360780.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360781.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
190616360782.1.1.2	1	0	0	0	0	0	0	0	0	0	0	0
