sample	oligotype_0_86	oligotype_10_215	oligotype_11_13	oligotype_12_10	oligotype_1_238291	oligotype_2_186480	oligotype_3_154697	oligotype_4_135193	oligotype_5_99638	oligotype_6_58206	oligotype_7_21892	oligotype_8_2798	oligotype_9_1202
190616360754.1.1.3	0	0	0	0	13	0	0	0	0	0	0	0	0
190616360756.1.1.3	0	0	0	0	12	0	11	0	0	0	0	0	0
190616360763.1.1.3	1	0	0	0	24	0	0	0	0	0	0	0	0
190616360764.1.1.3	1	14	0	0	10	0	0	0	0	0	0	0	0
190616360769.1.1.3	0	0	0	0	10	0	0	10	0	0	0	0	0
190616360770.1.1.3	1	0	0	0	13	0	0	0	0	0	0	0	0
190616360772.1.1.3	1	29	0	0	25	0	10	14	0	0	0	0	0
190616360775.1.1.3	0	15	0	0	10	0	0	0	10	0	0	0	0
190616360778.1.1.3	1	0	0	0	12	0	0	0	0	0	0	0	0
190616360780.1.1.3	1	0	0	0	11	0	0	0	0	0	0	0	0
190616360783.1.1.3	1	0	0	0	56	0	29	28	38	61	0	0	0
190616360784.1.1.3	0	0	0	0	99	0	31	81	27	41	34	0	0
190616360785.1.1.3	1	17	0	0	38	0	13	0	40	45	0	0	0
190616360786.1.1.3	1	0	0	0	44	0	15	26	16	50	0	0	0
190616360787.1.1.3	1	0	0	0	37	0	23	23	27	24	0	0	0
190616360788.1.1.3	1	0	0	0	76	0	22	53	41	46	0	0	0
190616360789.1.1.3	1	17	0	0	38	0	25	36	28	28	0	0	0
190616360790.1.1.3	1	0	0	0	48	0	26	58	37	47	0	0	0
190616360791.1.1.3	1	0	0	0	36	0	15	22	21	33	0	0	0
190616360792.1.1.3	1	0	0	0	30	0	16	15	20	34	0	0	0
190616360793.1.1.3	1	0	0	0	57	0	22	32	37	51	0	0	0
190616360794.1.1.3	1	0	0	0	55	0	16	45	34	10	0	0	0
190616360795.1.1.3	1	0	0	0	49	0	24	32	67	18	18	0	0
190616360796.1.1.3	1	0	0	0	77	0	25	47	53	41	15	0	0
190616360797.1.1.3	1	0	0	0	58	0	15	48	36	27	0	0	0
190616360798.1.1.3	1	0	0	0	449	0	128	239	245	217	69	0	0
