	class	family	genus	kingdom	order	otu	phylum	species
0	Bacilli	Bacillaceae	Bacillus	Bacteria	Bacillales	oligotype_1_1007082	Firmicutes	
1	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_2_845036	Proteobacteria	Pseudomonas psychrotolerans
2	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_3_596235	Proteobacteria	Pseudomonas putida
3	Bacilli	Bacillaceae	Bacillus	Bacteria	Bacillales	oligotype_4_457480	Firmicutes	
4	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_5_410072	Firmicutes	Staphylococcus epidermidis
5	Gammaproteobacteria	Moraxellaceae	Acinetobacter	Bacteria	Pseudomonadales	oligotype_6_397930	Proteobacteria	Acinetobacter baumannii
6	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_7_395858	Proteobacteria	Pseudomonas psychrotolerans
7	Gammaproteobacteria	Enterobacteriaceae	Klebsiella	Bacteria	Enterobacterales	oligotype_8_387235	Proteobacteria	Klebsiella pneumoniae
8	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_9_381460	Proteobacteria	Pseudomonas aeruginosa
9	Bacilli	Paenibacillaceae		Bacteria	Bacillales	oligotype_10_365296	Firmicutes	
10	Gammaproteobacteria	Moraxellaceae	Acinetobacter	Bacteria	Pseudomonadales	oligotype_11_360737	Proteobacteria	Acinetobacter lwoffii
11	Gammaproteobacteria	Moraxellaceae	Moraxella	Bacteria	Pseudomonadales	oligotype_12_337199	Proteobacteria	Moraxella catarrhalis
12	Gammaproteobacteria	Moraxellaceae	Enhydrobacter	Bacteria	Pseudomonadales	oligotype_13_320351	Proteobacteria	Enhydrobacter aerosaccus
13	Gammaproteobacteria	Moraxellaceae	Acinetobacter	Bacteria	Pseudomonadales	oligotype_14_307370	Proteobacteria	Acinetobacter baumannii
14	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_15_304606	Proteobacteria	Serratia marcescens
15	Gammaproteobacteria	Moraxellaceae	Acinetobacter	Bacteria	Pseudomonadales	oligotype_16_293526	Proteobacteria	Acinetobacter baumannii
16	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_17_292693	Proteobacteria	Pseudomonas putida
17	Gammaproteobacteria	Enterobacteriaceae	Klebsiella	Bacteria	Enterobacterales	oligotype_18_292430	Proteobacteria	Klebsiella pneumoniae
18	Gammaproteobacteria	Moraxellaceae	Acinetobacter	Bacteria	Pseudomonadales	oligotype_19_283150	Proteobacteria	Acinetobacter baumannii
19	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_20_257629	Firmicutes	Staphylococcus epidermidis
20	Bacilli	Paenibacillaceae		Bacteria	Bacillales	oligotype_21_244903	Firmicutes	
21	Bacilli	Paenibacillaceae		Bacteria	Bacillales	oligotype_22_242967	Firmicutes	
