	class	family	genus	kingdom	order	otu	phylum	species
0	Bacilli	Bacillaceae	Bacillus	Bacteria	Bacillales	oligotype_1_364765	Firmicutes	Bacillus cereus
1	Gammaproteobacteria	Enterobacteriaceae	Escherichia	Bacteria	Enterobacterales	oligotype_2_285011	Proteobacteria	Escherichia coli
2	Gammaproteobacteria	Enterobacteriaceae	Salmonella	Bacteria	Enterobacterales	oligotype_3_241325	Proteobacteria	Salmonella enterica
3	Bacilli	Enterococcaceae	Enterococcus	Bacteria	Lactobacillales	oligotype_4_198508	Firmicutes	Enterococcus faecalis
4	Bacilli	Listeriaceae	Listeria	Bacteria	Bacillales	oligotype_5_146155	Firmicutes	Listeria monocytogenes
5	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_6_86317	Firmicutes	Staphylococcus aureus
6	Bacilli	Staphylococcaceae	Staphylococcus	Bacteria	Bacillales	oligotype_7_32955	Firmicutes	Staphylococcus epidermidis
7	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_8_4464	Proteobacteria	Serratia proteamaculans
8	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_9_1900	Proteobacteria	Serratia proteamaculans
9	Gammaproteobacteria	Enterobacteriaceae	Serratia	Bacteria	Enterobacterales	oligotype_10_467	Proteobacteria	Serratia proteamaculans
10	Alphaproteobacteria	Rhizobiaceae		Bacteria	Rhizobiales	oligotype_11_23	Proteobacteria	
11	Gammaproteobacteria	Shewanellaceae	Shewanella	Bacteria	Alteromonadales	oligotype_12_19	Proteobacteria	
12	Gammaproteobacteria	Pseudomonadaceae	Pseudomonas	Bacteria	Pseudomonadales	oligotype_13_12	Proteobacteria	
13	Gammaproteobacteria	Xanthomonadaceae	Stenotrophomonas	Bacteria	Xanthomonadales	oligotype_14_12	Proteobacteria	Stenotrophomonas maltophilia
14	Betaproteobacteria	Comamonadaceae	Delftia	Bacteria	Burkholderiales	oligotype_15_12	Proteobacteria	
15	Alphaproteobacteria	Sphingomonadaceae	Sphingobium	Bacteria	Sphingomonadales	oligotype_16_12	Proteobacteria	Sphingobium yanoikuyae
16	Alphaproteobacteria	Methylobacteriaceae	Methylobacterium	Bacteria	Rhizobiales	oligotype_17_10	Proteobacteria	Methylobacterium radiotolerans
17						oligotype_0_86		
